Concatenation,Estimated resolicitation Date,ContractNumber,NDCWithDashes,Drug,Generic,TradeName,PackageDescription,Non-TAA,VendorName,5 Year option end, Price ,Offers,Estimated Annual Quantities,Estimated Annual Spend,ContractStartDate,ContractStopDate,5 Year option end,Contract Start Year,SubItemIdentifier,VAClass,Covered,PrimeVendor,PriceStartDate,PriceStopDate,PriceType
"36E79720D0047BEVACIZUMAB-BVZR 25MG/ML, 16ML INJ16ML",14-Feb-25,36E79720D0047,00069-0342-01,BEVACIZUMAB-BVZR,"BEVACIZUMAB-BVZR 25MG/ML, 16ML INJ",ZIRABEV 400MG,16ML,Compliant,"Pfizer, Inc.",13-Aug-25, $490.72 , 3.00 ," 8,034.00 "," $3,942,444.48 ",08/13/2020,08/12/2025,2025,2020,,AN900,T,T,08/13/2020,08/12/2025,NC
"36E79720D0047BEVACIZUMAB-BVZR 25MG/ML, 4ML INJ4ML",14-Feb-25,36E79720D0047,00069-0315-01,BEVACIZUMAB-BVZR,"BEVACIZUMAB-BVZR 25MG/ML, 4ML INJ",ZIRABEV 100MG,4ML,Compliant,"Pfizer, Inc.",13-Aug-25, $122.68 , 3.00 ," 35,277.00 "," $4,327,782.36 ",08/13/2020,08/12/2025,2025,2020,,AN900,T,T,08/13/2020,08/12/2025,NC
"36E79720D0048ORPHENADRINE CITRATE 100MG TAB,SA100",17-Jun-25,36E79720D0048,00185-0022-01,ORPHENADRINE CITRATE,"ORPHENADRINE CITRATE 100MG TAB,SA","ORPHENADRINE CITRATE 100MG TAB,SA",100,Compliant,"Sandoz, Inc.",14-Dec-25, $19.69 , 1.00 ," 1,672.00 "," $32,921.68 ",12/14/2020,12/13/2024,2025,2020,,MS200,F,T,12/14/2020,12/13/2024,NC
36E79720D0049LAMIVUDINE 150MG/ZIDOVUDINE 300MG TAB60,20-May-25,36E79720D0049,72865-0144-60,LAMIVUDINE/ZIDOVUDINE,LAMIVUDINE 150MG/ZIDOVUDINE 300MG TAB,LAMIVUDINE 150MG/ZIDOVUDINE 300MG TAB,60,Compliant,"XLCare Pharmaceuticals, Inc.",16-Nov-25, $192.20 , 4.00 ," 3,256.00 "," $625,803.20 ",11/16/2020,11/15/2024,2025,2020,,AM800,F,T,11/16/2020,11/15/2024,NC
"36E79720D0050PHENYTOIN NA,EXTENDED 100MG CAP,SA100",31-Mar-25,36E79720D0050,42291-0772-01,"PHENYTOIN NA,EXTENDED","PHENYTOIN NA,EXTENDED 100MG CAP,SA","PHENYTOIN NA,EXTENDED 100MG CAP,SA",100,Compliant,"AvKARE, LLC",27-Sep-25, $7.02 , 1.00 ," 13,280.00 "," $93,225.60 ",09/27/2020,09/26/2024,2025,2020,,CN400,F,T,09/27/2020,09/26/2024,NC
"36E79720D0050PHENYTOIN NA,EXTENDED 100MG CAP,SA1000",31-Mar-25,36E79720D0050,42291-0772-10,"PHENYTOIN NA,EXTENDED","PHENYTOIN NA,EXTENDED 100MG CAP,SA","PHENYTOIN NA,EXTENDED 100MG CAP,SA",1000,Compliant,"AvKARE, LLC",27-Sep-25, $56.94 , 1.00 ," 14,588.00 "," $830,640.72 ",09/27/2020,09/26/2024,2025,2020,,CN400,F,T,09/27/2020,09/26/2024,NC
36E79720D0051COLCHICINE 0.6MG TAB30,18-Apr-25,36E79720D0051,51407-0082-30,COLCHICINE,COLCHICINE 0.6MG TAB,COLCHICINE 0.6MG TAB,30,Compliant,"Golden State Medical Supply, Inc.",15-Oct-25, $5.42 , 5.00 ," 87,123.00 "," $472,206.66 ",10/15/2020,10/14/2024,2025,2020,,MS400,F,T,10/15/2020,10/14/2024,NC
36E79720D0051COLCHICINE 0.6MG TAB100,18-Apr-25,36E79720D0051,51407-0082-01,COLCHICINE,COLCHICINE 0.6MG TAB,COLCHICINE 0.6MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",15-Oct-25, $16.86 , 5.00 ," 71,638.00 "," $1,207,816.68 ",10/15/2020,10/14/2024,2025,2020,,MS400,F,T,10/15/2020,10/14/2024,NC
"36E79720D0052RITUXIMAB-PVVR 100MG/ML INJ,SOLN10ML",19-Mar-25,36E79720D0052,00069-0238-01,RITUXIMAB-PVVR,"RITUXIMAB-PVVR 100MG/ML INJ,SOLN","RITUXIMAB-PVVR 100MG/ML INJ,SOLN",10ML,Compliant,"Pfizer, Inc.",15-Sep-25, $107.52 , 3.00 ," 21,788.00 "," $2,342,645.76 ",09/15/2020,09/14/2024,2025,2020,,AN900,T,T,09/15/2020,09/14/2024,NC
"36E79720D0052RITUXIMAB-PVVR 500MG/ML INJ,SOLN50ML",19-Mar-25,36E79720D0052,00069-0249-01,RITUXIMAB-PVVR,"RITUXIMAB-PVVR 500MG/ML INJ,SOLN","RITUXIMAB-PVVR 500MG/ML INJ,SOLN",50ML,Compliant,"Pfizer, Inc.",15-Sep-25, $537.60 , 3.00 ," 26,793.00 "," $14,403,916.80 ",09/15/2020,09/14/2024,2025,2020,,AN900,T,T,09/15/2020,09/14/2024,NC
36E79720D0053HYDROXYCHLOROQUINE SO4 200MG TAB100,27-Mar-25,36E79720D0053,59212-0562-11,HYDROXYCHLOROQUINE SO4,HYDROXYCHLOROQUINE SO4 200MG TAB,PLAQUENIL 200MG TAB,100,Compliant,"Concordia Pharmaceuticals, Inc.",23-Sep-25, $15.08 , 9.00 ," 269,139.00 "," $4,058,616.12 ",09/23/2020,09/22/2024,2025,2020,,AP101,T,T,03/24/2022,09/22/2024,NC
36E79720D0064TOPIRAMATE 100MG TAB60,4-May-25,36E79720D0064,76282-0280-60,TOPIRAMATE,TOPIRAMATE 100MG TAB,TOPIRAMATE 100MG TAB,60,Compliant,"Exelan Pharmaceuticals, Inc.",31-Oct-25, $9.73 , 3.00 ," 35,346.00 "," $343,916.58 ",10/31/2020,10/30/2024,2025,2020,,CN400,F,T,10/31/2020,10/30/2024,NC
36E79720D0064TOPIRAMATE 100MG TAB1000,4-May-25,36E79720D0064,76282-0280-10,TOPIRAMATE,TOPIRAMATE 100MG TAB,TOPIRAMATE 100MG TAB,1000,Compliant,"Exelan Pharmaceuticals, Inc.",31-Oct-25, $143.45 , 3.00 ," 13,708.00 "," $1,966,412.60 ",10/31/2020,10/30/2024,2025,2020,,CN400,F,T,10/31/2020,10/30/2024,NC
36E79720D0064TOPIRAMATE 200MG TAB60,4-May-25,36E79720D0064,76282-0281-60,TOPIRAMATE,TOPIRAMATE 200MG TAB,TOPIRAMATE 200MG TAB,60,Compliant,"Exelan Pharmaceuticals, Inc.",31-Oct-25, $15.39 , 3.00 ," 13,216.00 "," $203,394.24 ",10/31/2020,10/30/2024,2025,2020,,CN400,F,T,10/31/2020,10/30/2024,NC
36E79720D0064TOPIRAMATE 200MG TAB1000,4-May-25,36E79720D0064,76282-0281-10,TOPIRAMATE,TOPIRAMATE 200MG TAB,TOPIRAMATE 200MG TAB,1000,Compliant,"Exelan Pharmaceuticals, Inc.",31-Oct-25, $237.50 , 3.00 ," 5,089.00 "," $1,208,637.50 ",10/31/2020,10/30/2024,2025,2020,,CN400,F,T,10/31/2020,10/30/2024,NC
36E79720D0064TOPIRAMATE 25MG TAB60,4-May-25,36E79720D0064,76282-0278-60,TOPIRAMATE,TOPIRAMATE 25MG TAB,TOPIRAMATE 25MG TAB,60,Compliant,"Exelan Pharmaceuticals, Inc.",31-Oct-25, $4.09 , 3.00 ," 62,283.00 "," $254,737.47 ",10/31/2020,10/30/2024,2025,2020,,CN400,F,T,10/31/2020,10/30/2024,NC
36E79720D0064TOPIRAMATE 25MG TAB1000,4-May-25,36E79720D0064,76282-0278-10,TOPIRAMATE,TOPIRAMATE 25MG TAB,TOPIRAMATE 25MG TAB,1000,Compliant,"Exelan Pharmaceuticals, Inc.",31-Oct-25, $50.35 , 3.00 ," 19,741.00 "," $993,959.35 ",10/31/2020,10/30/2024,2025,2020,,CN400,F,T,10/31/2020,10/30/2024,NC
36E79720D0064TOPIRAMATE 50MG TAB60,4-May-25,36E79720D0064,76282-0279-60,TOPIRAMATE,TOPIRAMATE 50MG TAB,TOPIRAMATE 50MG TAB,60,Compliant,"Exelan Pharmaceuticals, Inc.",31-Oct-25, $6.18 , 3.00 ," 20,812.00 "," $128,618.16 ",10/31/2020,10/30/2024,2025,2020,,CN400,F,T,10/31/2020,10/30/2024,NC
36E79720D0064TOPIRAMATE 50MG TAB1000,4-May-25,36E79720D0064,76282-0279-10,TOPIRAMATE,TOPIRAMATE 50MG TAB,TOPIRAMATE 50MG TAB,1000,Compliant,"Exelan Pharmaceuticals, Inc.",31-Oct-25, $82.65 , 3.00 ," 16,606.00 "," $1,372,485.90 ",10/31/2020,10/30/2024,2025,2020,,CN400,F,T,10/31/2020,10/30/2024,NC
"36E79720D0067EPOETIN ALFA-EPBX 10000UNIT/ML INJ,SOLN10X1ML",11-Apr-25,36E79720D0067,00069-1308-10,EPOETIN ALFA-EPBX,"EPOETIN ALFA-EPBX 10000UNIT/ML INJ,SOLN","RETACRIT 10000UNIT/ML INJ,SOLN",10X1ML,Compliant,"Pfizer, Inc.",8-Oct-25, $581.97 , 1.00 , -   , $-   ,10/08/2020,10/07/2024,2025,2020,,BL400,T,T,10/08/2020,10/07/2024,NC
"36E79720D0067EPOETIN ALFA-EPBX 2000UNIT/ML INJ,SOLN10X1ML",11-Apr-25,36E79720D0067,00069-1305-10,EPOETIN ALFA-EPBX,"EPOETIN ALFA-EPBX 2000UNIT/ML INJ,SOLN","RETACRIT 2000UNIT/ML INJ,SOLN",10X1ML,Compliant,"Pfizer, Inc.",8-Oct-25, $114.85 , 1.00 , -   , $-   ,10/08/2020,10/07/2024,2025,2020,,BL400,T,T,10/08/2020,10/07/2024,NC
"36E79720D0067EPOETIN ALFA-EPBX 3000UNIT/ML INJ,SOLN10X1ML",11-Apr-25,36E79720D0067,00069-1306-10,EPOETIN ALFA-EPBX,"EPOETIN ALFA-EPBX 3000UNIT/ML INJ,SOLN","RETACRIT 3000UNIT/ML INJ,SOLN",10X1ML,Compliant,"Pfizer, Inc.",8-Oct-25, $169.74 , 1.00 , -   , $-   ,10/08/2020,10/07/2024,2025,2020,,BL400,T,T,10/08/2020,10/07/2024,NC
"36E79720D0067EPOETIN ALFA-EPBX 40000UNIT/ML INJ,SOLN4X1ML",11-Apr-25,36E79720D0067,00069-1309-04,EPOETIN ALFA-EPBX,"EPOETIN ALFA-EPBX 40000UNIT/ML INJ,SOLN","RETACRIT 40000UNIT/ML INJ,SOLN",4X1ML,Compliant,"Pfizer, Inc.",8-Oct-25, $886.69 , 1.00 , -   , $-   ,10/08/2020,10/07/2024,2025,2020,,BL400,T,T,10/08/2020,10/07/2024,NC
"36E79720D0067EPOETIN ALFA-EPBX 4000UNIT/ML INJ,SOLN10X1ML",11-Apr-25,36E79720D0067,00069-1307-10,EPOETIN ALFA-EPBX,"EPOETIN ALFA-EPBX 4000UNIT/ML INJ,SOLN","RETACRIT 4000UNIT/ML INJ,SOLN",10X1ML,Compliant,"Pfizer, Inc.",8-Oct-25, $232.90 , 1.00 , -   , $-   ,10/08/2020,10/07/2024,2025,2020,,BL400,T,T,10/08/2020,10/07/2024,NC
"36E79720D0068APREPITANT 125MG CAP,UD6",5-May-25,36E79720D0068,68462-0585-76,APREPITANT,"APREPITANT 125MG CAP,UD","APREPITANT 125MG CAP,UD",6,Non-Compliant,"Glenmark Pharmaceuticals, Inc., USA",1-Nov-25, $338.24 , 2.00 , 328.00 ," $110,942.72 ",11/01/2020,10/31/2024,2025,2020,,GA605,F,T,11/01/2020,10/31/2024,NC
"36E79720D0068APREPITANT 125MG X1/80MG X2 CAP,PKT,33",5-May-25,36E79720D0068,68462-0112-33,APREPITANT,"APREPITANT 125MG X1/80MG X2 CAP,PKT,3","APREPITANT 125MG X1/80MG X2 CAP,PKT,3",3,Non-Compliant,"Glenmark Pharmaceuticals, Inc., USA",1-Nov-25, $88.17 , 2.00 ," 1,931.00 "," $170,256.27 ",11/01/2020,10/31/2024,2025,2020,,GA605,F,T,11/01/2020,10/31/2024,NC
36E79720D0068APREPITANT 40MG CAP1,5-May-25,36E79720D0068,68462-0583-40,APREPITANT,APREPITANT 40MG CAP,APREPITANT 40MG CAP,1,Non-Compliant,"Glenmark Pharmaceuticals, Inc., USA",1-Nov-25, $11.16 , 2.00 ," 5,459.00 "," $60,922.44 ",11/01/2020,10/31/2024,2025,2020,,GA605,F,T,11/01/2020,10/31/2024,NC
36E79720D0068APREPITANT 40MG CAP5,5-May-25,36E79720D0068,68462-0583-85,APREPITANT,APREPITANT 40MG CAP,APREPITANT 40MG CAP,5,Non-Compliant,"Glenmark Pharmaceuticals, Inc., USA",1-Nov-25, $55.57 , 2.00 , 950.00 ," $52,791.50 ",11/01/2020,10/31/2024,2025,2020,,GA605,F,T,11/01/2020,10/31/2024,NC
36E79720D0068APREPITANT 80MG CAP2,5-May-25,36E79720D0068,68462-0584-58,APREPITANT,APREPITANT 80MG CAP,APREPITANT 80MG CAP,2,Non-Compliant,"Glenmark Pharmaceuticals, Inc., USA",1-Nov-25, $64.47 , 2.00 ," 1,271.00 "," $81,941.37 ",11/01/2020,10/31/2024,2025,2020,,GA605,F,T,11/01/2020,10/31/2024,NC
36E79720D0068APREPITANT 80MG CAP6,5-May-25,36E79720D0068,68462-0584-76,APREPITANT,APREPITANT 80MG CAP,APREPITANT 80MG CAP,6,Non-Compliant,"Glenmark Pharmaceuticals, Inc., USA",1-Nov-25, $192.75 , 2.00 , 261.00 ," $50,307.75 ",11/01/2020,10/31/2024,2025,2020,,GA605,F,T,11/01/2020,10/31/2024,NC
36E79720D0069CLONIDINE 0.1MG/24HRS PATCH4,3-Jun-25,36E79720D0069,51862-0453-04,CLONIDINE,CLONIDINE 0.1MG/24HRS PATCH,CLONIDINE 0.1MG/24HRS PATCH,4,Compliant,"Dr. Reddy’s Laboratories, Inc.",30-Nov-25, $11.01 , 3.00 ," 31,399.00 "," $345,702.99 ",11/30/2020,11/29/2024,2025,2020,,CV490,F,T,11/30/2020,11/29/2024,NC
36E79720D0069CLONIDINE 0.1MG/24HRS PATCH4,3-Jun-25,36E79720D0069,75907-0023-48,CLONIDINE,CLONIDINE 0.1MG/24HRS PATCH,CLONIDINE 0.1MG/24HRS PATCH,4,Compliant,"Dr. Reddy’s Laboratories, Inc.",30-Nov-25, $11.01 , 3.00 ," 31,399.00 "," $345,702.99 ",11/30/2020,11/29/2024,2025,2020,,CV490,F,T,04/22/2024,11/29/2024,NC
36E79720D0069CLONIDINE 0.2MG/24HRS PATCH4,3-Jun-25,36E79720D0069,51862-0454-04,CLONIDINE,CLONIDINE 0.2MG/24HRS PATCH,CLONIDINE 0.2MG/24HRS PATCH,4,Compliant,"Dr. Reddy’s Laboratories, Inc.",30-Nov-25, $18.62 , 3.00 ," 40,746.00 "," $758,690.52 ",11/30/2020,11/29/2024,2025,2020,,CV490,F,T,11/30/2020,11/29/2024,NC
36E79720D0069CLONIDINE 0.2MG/24HRS PATCH4,3-Jun-25,36E79720D0069,75907-0024-48,CLONIDINE,CLONIDINE 0.2MG/24HRS PATCH,CLONIDINE 0.2MG/24HRS PATCH,4,Compliant,"Dr. Reddy’s Laboratories, Inc.",30-Nov-25, $18.62 , 3.00 ," 40,746.00 "," $758,690.52 ",11/30/2020,11/29/2024,2025,2020,,CV490,F,T,03/15/2024,11/29/2024,NC
36E79720D0069CLONIDINE 0.3MG/24HRS PATCH4,3-Jun-25,36E79720D0069,51862-0455-04,CLONIDINE,CLONIDINE 0.3MG/24HRS PATCH,CLONIDINE 0.3MG/24HRS PATCH,4,Compliant,"Dr. Reddy’s Laboratories, Inc.",30-Nov-25, $26.17 , 3.00 ," 46,485.00 "," $1,216,512.45 ",11/30/2020,11/29/2024,2025,2020,,CV490,F,T,11/30/2020,11/29/2024,NC
36E79720D0069CLONIDINE 0.3MG/24HRS PATCH4,3-Jun-25,36E79720D0069,75907-0025-48,CLONIDINE,CLONIDINE 0.3MG/24HRS PATCH,CLONIDINE 0.3MG/24HRS PATCH,4,Compliant,"Dr. Reddy’s Laboratories, Inc.",30-Nov-25, $26.17 , 3.00 ," 46,485.00 "," $1,216,512.45 ",11/30/2020,11/29/2024,2025,2020,,CV490,F,T,03/15/2024,11/29/2024,NC
36E79720D0070TRASTUZUMAB-DTTB 150MG/VIAL INJ1,19-May-25,36E79720D0070,78206-0147-01,TRASTUZUMAB-DTTB,TRASTUZUMAB-DTTB 150MG/VIAL INJ,ONTRUZANT 150MG VIAL,1,Compliant,Organon LLC,15-Nov-25, $285.42 , 4.00 ," 11,323.00 "," $3,231,810.66 ",11/15/2020,11/14/2024,2025,2020,,AN900,T,T,11/15/2023,11/14/2024,NC
"36E79720D0071SEMAGLUTIDE 0.25MG/0.375ML INJ,SOLN,PEN,3ML3ML",6-May-25,36E79720D0071,00169-4181-13,SEMAGLUTIDE,"SEMAGLUTIDE 0.25MG/0.375ML INJ,SOLN,PEN,3ML","OZEMPIC 0.25MG/0.375ML INJ,SOLN,PEN,3ML",3ML,Compliant,Novo Nordisk Inc.,2-Nov-25, $130.00 , 2.00 , -   , $-   ,11/02/2020,11/01/2024,2025,2020,,HS509,T,T,03/13/2023,11/01/2024,NC
"36E79720D0071SEMAGLUTIDE 1MG/0.75ML INJ,SOLN,PEN,3ML3ML",6-May-25,36E79720D0071,00169-4130-13,SEMAGLUTIDE,"SEMAGLUTIDE 1MG/0.75ML INJ,SOLN,PEN,3ML","OZEMPIC 1MG/0.75ML INJ,SOLN,PEN,3ML",3ML,Compliant,Novo Nordisk Inc.,2-Nov-25, $130.00 , 2.00 ," 536,592.00 "," $69,756,960.00 ",11/02/2020,11/01/2024,2025,2020,,HS509,T,T,04/01/2021,11/01/2024,NC
"36E79720D0076RANOLAZINE 1000MG TAB,SA60",24-May-25,36E79720D0076,42291-0774-60,RANOLAZINE,"RANOLAZINE 1000MG TAB,SA","RANOLAZINE 1000MG TAB,SA",60,Compliant,"AvKARE, LLC",20-Nov-25, $15.47 , 3.00 ," 95,663.00 "," $1,479,906.61 ",11/20/2020,11/19/2024,2025,2020,,CV250,F,T,12/20/2021,11/19/2024,NC
"36E79720D0076RANOLAZINE 500MG TAB,SA60",24-May-25,36E79720D0076,42291-0773-60,RANOLAZINE,"RANOLAZINE 500MG TAB,SA","RANOLAZINE 500MG TAB,SA",60,Compliant,"AvKARE, LLC",20-Nov-25, $9.65 , 3.00 ," 219,774.00 "," $2,120,819.10 ",11/20/2020,11/19/2024,2025,2020,,CV250,F,T,12/20/2021,11/19/2024,NC
36E79720D0073ARIPIPRAZOLE 10MG TAB30,5-Aug-25,36E79720D0073,72865-0182-30,ARIPIPRAZOLE,ARIPIPRAZOLE 10MG TAB,ARIPIPRAZOLE 10MG TAB,30,Compliant,"XLCare Pharmaceuticals, Inc.",1-Feb-26, $3.00 , 3.00 ," 97,723.00 "," $293,169.00 ",02/01/2021,01/31/2025,2026,2021,,CN709,F,T,02/01/2021,01/31/2025,NC
36E79720D0073ARIPIPRAZOLE 10MG TAB500,5-Aug-25,36E79720D0073,72865-0182-05,ARIPIPRAZOLE,ARIPIPRAZOLE 10MG TAB,ARIPIPRAZOLE 10MG TAB,500,Compliant,"XLCare Pharmaceuticals, Inc.",1-Feb-26, $37.50 , 3.00 ," 3,306.00 "," $123,975.00 ",02/01/2021,01/31/2025,2026,2021,,CN709,F,T,02/01/2021,01/31/2025,NC
36E79720D0073ARIPIPRAZOLE 15MG TAB30,5-Aug-25,36E79720D0073,72865-0183-30,ARIPIPRAZOLE,ARIPIPRAZOLE 15MG TAB,ARIPIPRAZOLE 15MG TAB,30,Compliant,"XLCare Pharmaceuticals, Inc.",1-Feb-26, $3.75 , 3.00 ," 33,909.00 "," $127,158.75 ",02/01/2021,01/31/2025,2026,2021,,CN709,F,T,02/01/2021,01/31/2025,NC
36E79720D0073ARIPIPRAZOLE 15MG TAB500,5-Aug-25,36E79720D0073,72865-0183-05,ARIPIPRAZOLE,ARIPIPRAZOLE 15MG TAB,ARIPIPRAZOLE 15MG TAB,500,Compliant,"XLCare Pharmaceuticals, Inc.",1-Feb-26, $45.00 , 3.00 , 852.00 ," $38,340.00 ",02/01/2021,01/31/2025,2026,2021,,CN709,F,T,02/01/2021,01/31/2025,NC
36E79720D0073ARIPIPRAZOLE 20MG TAB30,5-Aug-25,36E79720D0073,72865-0184-30,ARIPIPRAZOLE,ARIPIPRAZOLE 20MG TAB,ARIPIPRAZOLE 20MG TAB,30,Compliant,"XLCare Pharmaceuticals, Inc.",1-Feb-26, $5.25 , 3.00 ," 61,445.00 "," $322,586.25 ",02/01/2021,01/31/2025,2026,2021,,CN709,F,T,02/01/2021,01/31/2025,NC
36E79720D0073ARIPIPRAZOLE 20MG TAB500,5-Aug-25,36E79720D0073,72865-0184-05,ARIPIPRAZOLE,ARIPIPRAZOLE 20MG TAB,ARIPIPRAZOLE 20MG TAB,500,Compliant,"XLCare Pharmaceuticals, Inc.",1-Feb-26, $52.50 , 3.00 ," 3,026.00 "," $158,865.00 ",02/01/2021,01/31/2025,2026,2021,,CN709,F,T,02/01/2021,01/31/2025,NC
36E79720D0073ARIPIPRAZOLE 2MG TAB30,5-Aug-25,36E79720D0073,72865-0180-30,ARIPIPRAZOLE,ARIPIPRAZOLE 2MG TAB,ARIPIPRAZOLE 2MG TAB,30,Compliant,"XLCare Pharmaceuticals, Inc.",1-Feb-26, $1.88 , 3.00 ," 83,436.00 "," $156,859.68 ",02/01/2021,01/31/2025,2026,2021,,CN709,F,T,02/01/2021,01/31/2025,NC
36E79720D0073ARIPIPRAZOLE 2MG TAB500,5-Aug-25,36E79720D0073,72865-0180-05,ARIPIPRAZOLE,ARIPIPRAZOLE 2MG TAB,ARIPIPRAZOLE 2MG TAB,500,Compliant,"XLCare Pharmaceuticals, Inc.",1-Feb-26, $27.00 , 3.00 ," 1,799.00 "," $48,573.00 ",02/01/2021,01/31/2025,2026,2021,,CN709,F,T,02/01/2021,01/31/2025,NC
36E79720D0073ARIPIPRAZOLE 30MG TAB30,5-Aug-25,36E79720D0073,72865-0185-30,ARIPIPRAZOLE,ARIPIPRAZOLE 30MG TAB,ARIPIPRAZOLE 30MG TAB,30,Compliant,"XLCare Pharmaceuticals, Inc.",1-Feb-26, $5.50 , 3.00 ," 37,641.00 "," $207,025.50 ",02/01/2021,01/31/2025,2026,2021,,CN709,F,T,02/01/2021,01/31/2025,NC
36E79720D0073ARIPIPRAZOLE 30MG TAB500,5-Aug-25,36E79720D0073,72865-0185-05,ARIPIPRAZOLE,ARIPIPRAZOLE 30MG TAB,ARIPIPRAZOLE 30MG TAB,500,Compliant,"XLCare Pharmaceuticals, Inc.",1-Feb-26, $60.00 , 3.00 ," 1,836.00 "," $110,160.00 ",02/01/2021,01/31/2025,2026,2021,,CN709,F,T,02/01/2021,01/31/2025,NC
36E79720D0073ARIPIPRAZOLE 5MG TAB30,5-Aug-25,36E79720D0073,72865-0181-30,ARIPIPRAZOLE,ARIPIPRAZOLE 5MG TAB,ARIPIPRAZOLE 5MG TAB,30,Compliant,"XLCare Pharmaceuticals, Inc.",1-Feb-26, $2.25 , 3.00 ," 118,870.00 "," $267,457.50 ",02/01/2021,01/31/2025,2026,2021,,CN709,F,T,02/01/2021,01/31/2025,NC
36E79720D0073ARIPIPRAZOLE 5MG TAB500,5-Aug-25,36E79720D0073,72865-0181-05,ARIPIPRAZOLE,ARIPIPRAZOLE 5MG TAB,ARIPIPRAZOLE 5MG TAB,500,Compliant,"XLCare Pharmaceuticals, Inc.",1-Feb-26, $30.00 , 3.00 ," 2,846.00 "," $85,380.00 ",02/01/2021,01/31/2025,2026,2021,,CN709,F,T,02/01/2021,01/31/2025,NC
36E79721D0001TACROLIMUS 0.5MG CAP100,3-Oct-25,36E79721D0001,60429-0377-01,TACROLIMUS,TACROLIMUS 0.5MG CAP,TACROLIMUS 0.5MG CAP,100,Compliant,"Golden State Medical Supply, Inc.",1-Apr-26, $29.16 , 4.00 ," 51,318.00 "," $1,496,432.88 ",04/01/2021,03/31/2025,2026,2021,,IM600,F,T,04/01/2021,03/31/2025,NC
36E79721D0001TACROLIMUS 1MG CAP100,3-Oct-25,36E79721D0001,60429-0378-01,TACROLIMUS,TACROLIMUS 1MG CAP,TACROLIMUS 1MG CAP,100,Compliant,"Golden State Medical Supply, Inc.",1-Apr-26, $55.38 , 4.00 ," 149,210.00 "," $8,263,249.80 ",04/01/2021,03/31/2025,2026,2021,,IM600,F,T,04/01/2021,03/31/2025,NC
36E79721D0001TACROLIMUS 5MG CAP100,3-Oct-25,36E79721D0001,60429-0379-01,TACROLIMUS,TACROLIMUS 5MG CAP,TACROLIMUS 5MG CAP,100,Compliant,"Golden State Medical Supply, Inc.",1-Apr-26, $272.88 , 4.00 ," 5,449.00 "," $1,486,923.12 ",04/01/2021,03/31/2025,2026,2021,,IM600,F,T,04/01/2021,03/31/2025,NC
36E79721D0003NICOTINE 14MG/24HRS PATCH14,5-Aug-25,36E79721D0003,60429-0444-14,NICOTINE,NICOTINE 14MG/24HRS PATCH,NICOTINE 14MG/24HRS PATCH,14,Compliant,"Golden State Medical Supply, Inc.",1-Feb-26, $9.83 , 3.00 ," 284,436.00 "," $2,796,005.88 ",02/01/2021,01/31/2025,2026,2021,,AD900,F,T,02/01/2021,01/31/2025,NC
36E79721D0003NICOTINE 21MG/24HRS PATCH14,5-Aug-25,36E79721D0003,60429-0445-14,NICOTINE,NICOTINE 21MG/24HRS PATCH,NICOTINE 21MG/24HRS PATCH,14,Compliant,"Golden State Medical Supply, Inc.",1-Feb-26, $9.83 , 3.00 ," 385,207.00 "," $3,786,584.81 ",02/01/2021,01/31/2025,2026,2021,,AD900,F,T,02/01/2021,01/31/2025,NC
36E79721D0003NICOTINE 7MG/24HRS PATCH14,5-Aug-25,36E79721D0003,60429-0443-14,NICOTINE,NICOTINE 7MG/24HRS PATCH,NICOTINE 7MG/24HRS PATCH,14,Compliant,"Golden State Medical Supply, Inc.",1-Feb-26, $9.83 , 3.00 ," 176,021.00 "," $1,730,286.43 ",02/01/2021,01/31/2025,2026,2021,,AD900,F,T,02/01/2021,01/31/2025,NC
36E79721D0004HYDRALAZINE HCL 100MG TAB100,10-Oct-25,36E79721D0004,77771-0185-01,HYDRALAZINE HCL,HYDRALAZINE HCL 100MG TAB,HYDRALAZINE HCL 100MG TAB,100,Compliant,Radha Pharmaceuticals Inc.,8-Apr-26, $4.35 , 4.00 ," 93,521.00 "," $406,816.35 ",04/08/2021,04/07/2025,2026,2021,,CV490,F,T,04/08/2021,04/07/2025,NC
36E79721D0004HYDRALAZINE HCL 10MG TAB100,10-Oct-25,36E79721D0004,77771-0182-01,HYDRALAZINE HCL,HYDRALAZINE HCL 10MG TAB,HYDRALAZINE HCL 10MG TAB,100,Compliant,Radha Pharmaceuticals Inc.,8-Apr-26, $2.80 , 4.00 ," 10,712.00 "," $29,993.60 ",04/08/2021,04/07/2025,2026,2021,,CV490,F,T,04/08/2021,04/07/2025,NC
36E79721D0004HYDRALAZINE HCL 10MG TAB1000,10-Oct-25,36E79721D0004,77771-0182-10,HYDRALAZINE HCL,HYDRALAZINE HCL 10MG TAB,HYDRALAZINE HCL 10MG TAB,1000,Compliant,Radha Pharmaceuticals Inc.,8-Apr-26, $16.60 , 4.00 ," 14,753.00 "," $244,899.80 ",04/08/2021,04/07/2025,2026,2021,,CV490,F,T,04/08/2021,04/07/2025,NC
